id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,"euphoric,uplifting,bright"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,"focused,calm,dreamy"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,"aggressive,powerful,adrenaline"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,"peaceful,nostalgic,cozy"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,84,2020s,"motivated,pumped,triumphant"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2020s,"ethereal,meditative,floating"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,53,2010s,"nostalgic,warm,breezy"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2020s,"brooding,cinematic,tense"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020s,"concentrated,serene,steady"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020s,"joyful,romantic,carefree"
11,Desert Highway,Cactus Road,country,nostalgic,0.61,95,0.72,0.68,0.55,63,2010s,"longing,open,free"
12,Electric Soul,Voltage Kings,funk,energetic,0.85,108,0.88,0.91,0.12,77,2010s,"groovy,euphoric,vibrant"
13,Neon Noir,Static Moth,darkwave,melancholic,0.68,103,0.31,0.65,0.08,49,2020s,"dark,introspective,haunting"
14,Bamboo Wind,Sora Hana,classical,peaceful,0.22,55,0.74,0.32,0.97,38,2010s,"tranquil,elegant,meditative"
15,Bounce Back,Uptown Flex,hip-hop,confident,0.88,94,0.79,0.87,0.09,91,2020s,"bold,triumphant,assertive"
16,Saltwater Summer,Beachwave,reggae,happy,0.55,82,0.86,0.76,0.48,66,2010s,"carefree,sunny,laid-back"
17,Neon Pulse,Arcane Grid,electronic,intense,0.94,140,0.55,0.82,0.03,80,2020s,"aggressive,energetic,hypnotic"
18,Velvet Underground,Crimson Tide,soul,romantic,0.46,72,0.83,0.61,0.77,57,1990s,"warm,intimate,tender"
19,Iron Curtain,Wrath Engine,metal,aggressive,0.97,168,0.28,0.55,0.04,68,2010s,"aggressive,fierce,raw"
20,Pastel Morning,Haze Garden,dream pop,serene,0.33,68,0.76,0.52,0.83,54,2020s,"dreamy,gentle,hopeful"
